dhb,sex,agecut,pop
Total,All,0,311930
Total,All,5,300070
Total,All,10,296770
Total,All,15,312480
Total,All,20,314920
Total,All,25,277490
Total,All,30,271090
Total,All,35,276360
Total,All,40,316570
Total,All,45,311990
Total,All,50,313670
Total,All,55,271760
Total,All,60,241010
Total,All,65,205760
Total,All,70,154040
Total,All,75,109340
Total,All,80,82120
Total,All,85+,74730
Total,M,0,160150
Total,M,5,153570
Total,M,10,152180
Total,M,15,160150
Total,M,20,159180
Total,M,25,135330
Total,M,30,129510
Total,M,35,131500
Total,M,40,150170
Total,M,45,150100
Total,M,50,151680
Total,M,55,132170
Total,M,60,117900
Total,M,65,100570
Total,M,70,74040
Total,M,75,51010
Total,M,80,36100
Total,M,85+,26840
Total,F,0,151770
Total,F,5,146490
Total,F,10,144580
Total,F,15,152330
Total,F,20,155740
Total,F,25,142160
Total,F,30,141580
Total,F,35,144860
Total,F,40,166410
Total,F,45,161890
Total,F,50,161990
Total,F,55,139590
Total,F,60,123110
Total,F,65,105190
Total,F,70,80000
Total,F,75,58330
Total,F,80,46030
Total,F,85+,47880
Northland,All,0,12180
Northland,All,5,12150
Northland,All,10,12110
Northland,All,15,11060
Northland,All,20,8390
Northland,All,25,7560
Northland,All,30,7340
Northland,All,35,8500
Northland,All,40,10540
Northland,All,45,11220
Northland,All,50,12270
Northland,All,55,11560
Northland,All,60,10960
Northland,All,65,9880
Northland,All,70,7470
Northland,All,75,5020
Northland,All,80,3520
Northland,All,85+,3030
Northland,M,0,6280
Northland,M,5,6190
Northland,M,10,6270
Northland,M,15,5750
Northland,M,20,4190
Northland,M,25,3590
Northland,M,30,3440
Northland,M,35,3900
Northland,M,40,4930
Northland,M,45,5310
Northland,M,50,5820
Northland,M,55,5580
Northland,M,60,5370
Northland,M,65,4920
Northland,M,70,3750
Northland,M,75,2470
Northland,M,80,1650
Northland,M,85+,1150
Northland,F,0,5900
Northland,F,5,5960
Northland,F,10,5840
Northland,F,15,5300
Northland,F,20,4190
Northland,F,25,3970
Northland,F,30,3900
Northland,F,35,4600
Northland,F,40,5620
Northland,F,45,5910
Northland,F,50,6450
Northland,F,55,5980
Northland,F,60,5590
Northland,F,65,4960
Northland,F,70,3720
Northland,F,75,2540
Northland,F,80,1870
Northland,F,85+,1880
Waitemata,All,0,39670
Waitemata,All,5,37030
Waitemata,All,10,36420
Waitemata,All,15,39110
Waitemata,All,20,38280
Waitemata,All,25,34460
Waitemata,All,30,36360
Waitemata,All,35,36750
Waitemata,All,40,42750
Waitemata,All,45,41440
Waitemata,All,50,39240
Waitemata,All,55,32370
Waitemata,All,60,27980
Waitemata,All,65,24070
Waitemata,All,70,17370
Waitemata,All,75,12200
Waitemata,All,80,8900
Waitemata,All,85+,8400
Waitemata,M,0,20510
Waitemata,M,5,18960
Waitemata,M,10,18760
Waitemata,M,15,20020
Waitemata,M,20,19590
Waitemata,M,25,16720
Waitemata,M,30,17250
Waitemata,M,35,17440
Waitemata,M,40,20120
Waitemata,M,45,19830
Waitemata,M,50,18930
Waitemata,M,55,15540
Waitemata,M,60,13510
Waitemata,M,65,11600
Waitemata,M,70,8320
Waitemata,M,75,5610
Waitemata,M,80,3920
Waitemata,M,85+,3000
Waitemata,F,0,19170
Waitemata,F,5,18070
Waitemata,F,10,17660
Waitemata,F,15,19090
Waitemata,F,20,18700
Waitemata,F,25,17740
Waitemata,F,30,19110
Waitemata,F,35,19310
Waitemata,F,40,22630
Waitemata,F,45,21610
Waitemata,F,50,20310
Waitemata,F,55,16830
Waitemata,F,60,14480
Waitemata,F,65,12470
Waitemata,F,70,9050
Waitemata,F,75,6590
Waitemata,F,80,4970
